研修プログラムコード,コース番号,コマ記号,表示順,所要時間,タイトル,説明
gen,16,B5,8,1.0,生成AIによる顧客支援総合演習,ここまでの成果物を統合し、自身の業務を題材とした顧客支援の通し演習を行います(マスキング済みデータ又はダミーデータを使用し、講師の添削・指導のもと、生成AIを用いて訓練用の成果物を完成させます)
gen,16,C1,9,1.5,CS業務の生成AIテンプレート作成,オンボーディングチェックリスト / 月次レビューレポートテンプレート
gen,16,C2,10,0.5,生成AIテンプレートの業務フロー配置,作成した生成AIテンプレートを、自身の業務のどの工程で使うかにマッピングします
gen,16,D1,11,1.0,生成AIテンプレートの運用・修正演習,研修内で作成した自身の業務用生成AIテンプレートを対象に、出力が期待と異なる場合の修正(条件の追加・例示・出力形式の指定・作業の分割)・再実行・結果検証の手順を演習形式で習得します
gen,16,D2,12,0.5,業務での確認・チェック手順の習得演習,生成AI出力の検算・照合、機密情報の取り扱いなど、自身の業務に即した確認手順を演習で習得し、自業務向けに作成します
gen,16,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,研修で作成した文書・生成AIテンプレートを日次・週次業務のどの工程で使うかの計画にまとめ、講師が個別に添削・フィードバックします
gen,17,B0,1,0.5,販売営業職(店舗販売)業務の生成AI活用実演・要点解説,講師が本コースで扱う一連の業務を生成AIで通しで実演し、要点を解説します
gen,17,B11,2,0.5,生成AIによる店頭文書作成・基礎,商品説明POP・プライスカード文言
gen,17,B12,3,1.0,生成AIによる店頭文書作成・実践,顧客へのDM・LINE配信文 / 入荷案内
gen,17,B21,4,0.5,生成AIによる売上データ整理・基礎,売上の商品別・時間帯別集計
gen,17,B22,5,0.5,生成AIによる売上データ整理・実践,顧客アンケート・レビューの分類
gen,17,B3,6,1.0,生成AIによる接客・売場応用①,客層別の接客トーク改善ロールプレイ
gen,17,B4,7,1.0,生成AIによる接客・売場応用②,季節催事の売場企画案
gen,17,B5,8,1.0,生成AIによる接客・売場総合演習,ここまでの成果物を統合し、自身の業務を題材とした接客・売場の通し演習を行います(マスキング済みデータ又はダミーデータを使用し、講師の添削・指導のもと、生成AIを用いて訓練用の成果物を完成させます)
gen,17,C1,9,1.5,店舗業務の生成AIテンプレート作成,POP作成テンプレート集 / 月次売れ筋レビュー / 顧客フォロー文テンプレ
gen,17,C2,10,0.5,生成AIテンプレートの業務フロー配置,作成した生成AIテンプレートを、自身の業務のどの工程で使うかにマッピングします
gen,17,D1,11,1.0,生成AIテンプレートの運用・修正演習,研修内で作成した自身の業務用生成AIテンプレートを対象に、出力が期待と異なる場合の修正(条件の追加・例示・出力形式の指定・作業の分割)・再実行・結果検証の手順を演習形式で習得します
gen,17,D2,12,0.5,業務での確認・チェック手順の習得演習,生成AI出力の検算・照合、機密情報の取り扱いなど、自身の業務に即した確認手順を演習で習得し、自業務向けに作成します
gen,17,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,研修で作成した文書・生成AIテンプレートを日次・週次業務のどの工程で使うかの計画にまとめ、講師が個別に添削・フィードバックします
gen,18,B0,1,0.5,不動産売買営業職業務の生成AI活用実演・要点解説,講師が本コースで扱う一連の業務を生成AIで通しで実演し、要点を解説します
gen,18,B11,2,0.5,生成AIによる物件文書作成・基礎,ポータル掲載用の物件紹介文
gen,18,B12,3,1.0,生成AIによる物件文書作成・実践,査定報告書の説明文 / 追客メール
gen,18,B21,4,0.5,生成AIによる相場データ整理・基礎,周辺相場の比較表作成
gen,18,B22,5,0.5,生成AIによる相場データ整理・実践,反響データの媒体別集計
gen,18,B3,6,1.0,生成AIによる提案資料応用①,物件周辺環境のリサーチ→提案資料化
gen,18,B4,7,1.0,生成AIによる提案資料応用②,住宅ローンの一般的な説明資料作成
gen,18,B5,8,1.0,生成AIによる提案資料総合演習,ここまでの成果物を統合し、自身の業務を題材とした提案資料の通し演習を行います(マスキング済みデータ又はダミーデータを使用し、講師の添削・指導のもと、生成AIを用いて訓練用の成果物を完成させます)
gen,18,C1,9,1.5,売買営業の生成AIテンプレート作成,物件紹介文テンプレ / 査定報告の構成テンプレ
gen,18,C2,10,0.5,生成AIテンプレートの業務フロー配置,作成した生成AIテンプレートを、自身の業務のどの工程で使うかにマッピングします
gen,18,D1,11,1.0,生成AIテンプレートの運用・修正演習,研修内で作成した自身の業務用生成AIテンプレートを対象に、出力が期待と異なる場合の修正(条件の追加・例示・出力形式の指定・作業の分割)・再実行・結果検証の手順を演習形式で習得します
gen,18,D2,12,0.5,業務での確認・チェック手順の習得演習,生成AI出力の検算・照合、機密情報の取り扱いなど、自身の業務に即した確認手順を演習で習得し、自業務向けに作成します
gen,18,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,研修で作成した文書・生成AIテンプレートを日次・週次業務のどの工程で使うかの計画にまとめ、講師が個別に添削・フィードバックします
gen,19,B0,1,0.5,不動産賃貸営業・管理職業務の生成AI活用実演・要点解説,講師が本コースで扱う一連の業務を生成AIで通しで実演し、要点を解説します
gen,19,B11,2,0.5,生成AIによる賃貸文書作成・基礎,空室物件の紹介文
gen,19,B12,3,1.0,生成AIによる賃貸文書作成・実践,入居者への更新案内・注意喚起文 / オーナー向け報告書
gen,19,B21,4,0.5,生成AIによる物件データ整理・基礎,空室一覧・家賃相場の整理
gen,19,B22,5,0.5,生成AIによる物件データ整理・実践,修繕履歴の一覧化
gen,19,B3,6,1.0,生成AIによる空室対策応用①,空室対策の提案書(設備・賃料見直し)
gen,19,B4,7,1.0,生成AIによる空室対策応用②,入居者対応の記録整理
gen,19,B5,8,1.0,生成AIによる空室対策総合演習,ここまでの成果物を統合し、自身の業務を題材とした空室対策の通し演習を行います(マスキング済みデータ又はダミーデータを使用し、講師の添削・指導のもと、生成AIを用いて訓練用の成果物を完成させます)
gen,19,C1,9,1.5,管理業務の生成AIテンプレート作成,契約更新案内テンプレ / オーナー月次報告テンプレート
gen,19,C2,10,0.5,生成AIテンプレートの業務フロー配置,作成した生成AIテンプレートを、自身の業務のどの工程で使うかにマッピングします
gen,19,D1,11,1.0,生成AIテンプレートの運用・修正演習,研修内で作成した自身の業務用生成AIテンプレートを対象に、出力が期待と異なる場合の修正(条件の追加・例示・出力形式の指定・作業の分割)・再実行・結果検証の手順を演習形式で習得します
gen,19,D2,12,0.5,業務での確認・チェック手順の習得演習,生成AI出力の検算・照合、機密情報の取り扱いなど、自身の業務に即した確認手順を演習で習得し、自業務向けに作成します
gen,19,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,研修で作成した文書・生成AIテンプレートを日次・週次業務のどの工程で使うかの計画にまとめ、講師が個別に添削・フィードバックします
gen,20,B0,1,0.5,住宅・リフォーム営業職業務の生成AI活用実演・要点解説,講師が本コースで扱う一連の業務を生成AIで通しで実演し、要点を解説します
